Title,First Paragraph
Mahatma Gandhi,"<START> Ni Mohandas Karamchand Gandhi, kadawyan nga ammo a kas ni Mahatma Gandhi, ket isu idi ti preeminente a daulo iti Indiano a nationalismo iti tinurayan ti Britaniko nga India. A nagar-aramat kadagiti di-naranggas a sibil a di-panagtungpal, ni Gandhi ket indauloanna ti India ti panakawayawaya ken nagparegget kadagiti tignay para iti di-naranggas, dagiit sibil a karbengan ken panakawayawaya iti ballasiw ti sangalubongan. <END>"
Fred Astaire,"<START> Ni Fred Astaire ket maysa idi nga Amerikano a sumasala, kumakanta, aktor, koreograpo, musikero, ken presentador iti telebision. <END>"
James Stewart,"<START> Ni James Maitland Stewart, ammo pay a kas Jimmy Stewart, ket maysa idi nga Amerikano nga aktor, ammo para iti naisangayan nga ayugna ken managkumbaba a persona. Isu ket nagbida kadagiti adu a pelikula a naikeddeng a dagiti klasiko, ken ammo para iti panangiladawanna iti maysa nga Amerikano a lalaki nga agtengnga a klase nga agsagsagaba iti didigra. <END>"
Jaroslav Seifert,"<START> Ni Jaroslav Seifert ket Tseko a mannurat, mannaniw ken agiwarwarnak a nangabak idi ti Premio Nobel iti Literatura. <END>"
Ernest Borgnine,"<START> Ni Ermes Effron Borgnino, ammo a kas ni Ernest Borgnine ket maysa idi nga Amerikano nga aktor ti pelikula ken telebision a ti karerna ket nagpaut kadagiti innem a dekada. Isu ket nanagabak iti Kalaingan nga Aktor idi 1955 para iti Marty. Iti telebision, inpapelna ni Quinton McHale kadagiti serye ti McHale's Navy idi 1962–1966 ken katakunaynay a nagbida kadagiti serye ti aksion ti Airwolf kadagiti agpakatengnga a tawen ti 1980. <END>"
Diane Keaton,"<START> Ni Diane Hall, kaaduan nga ammo babaen iti naganna iti entablado a kas ni Diane Keaton, ket maysa nga Amerikana nga aktres ti pelikula, direktor, produser ken mannurat ti senario. Inrugina ti pagsapullanna iti entablado ken nangirugi iti pelikula idi 1970. Ti immuna idi a nangruna a papelna iti pelikula ket kas ni Kay Adams-Corleone iti The Godfather (1972), ngem dagiti pelikula a nangsukog ti nasapa a pagsapullanna ket kenni direkor ken kaduana a nagbida ni Woody Allen, rinugian iti Play It Again, Sam idi 1972. Dagiti dua a simmaruno a pelikulana kenni Allen, ti Sleeper (1973) ken ti Love and Death (1975), ket nangitakder kaniana nga aktres ti komedia, ti Annie Hall (1977) ket isu ti nangabakanna iti Kalaingan nga Aktres. <END>"
Yul Brynner,<START> Ni Yul Brynner ket maysa idi a naiyanak idiay Rusia a nagnanaed idiay Estados Unidos nga aktor ti pelikula ken entablado. <END>
Halle Berry,"<START> Ni Halle Maria Berry ket maysa nga Amerikana nga aktres, produser ti pelikular, ken dati a modelo ti moda. Isu ket nangabak iti Kalaingan nga Akters iidi 2002 para iti panangiladawanna iti romatiko a drama iti Monster's Ball (2001), ken nangaramid kaniana daytoy iti kaikaisuna a nangisit a tao a nangabak iti Gunguna ti Akademia para iti Kalaingan nga Aktres manipud idi 2016. <END>"
Charles Darwin,"<START> Ni Charles Robert Darwin, FRS ket maysa idi nga Ingles a naturalista. Isu ti nangibangon nga amin a sebbangan iti biag ket nagtaud iti napalpalabas a panawen manipud kadagiti sapasap a puonan, ken nangipaltiing ti sientipiko a teoria a daytoy a panagsangsanga a tabas iti itutubo ket nagbanagan kadagiti yaaddang a tinawtawagna a masna a panagpili. <END>"
Peter O'Toole,"<START> Ni Peter Seamus O'Toole ket maysa idi a Briton-Irlandes nga aktor iti entablado ken pelikula. Isu ket nagbasa idiay Royal Academy of Dramatic Art, ken nangrugi a nagtrabaho iti teatro, ken nakagun-od iti pannakabigbig a kas Shakespeareano nga aktor iti Bristol Old Vic ken iti English Stage Company, sakbay a napan iti pelikula idi 1959. <END>"
Alec Guinness,"<START> Ni Apo Alec Guinness ket maysa idi nga Ingles nga aktor. Kalpasan iti nasapa a karer iti entablado, isu ket naipabauya kadagiti nadumaduma nga Ealing Comedies, mairaman ti The Ladykillers ken ti Kind Hearts and Coronets nga isu ket nangipapel kadagiti walo a nadumaduma a karakter. Isu ket ammo pay para kadagiti innem a kolaborasionna kada David Lean: Herbert Pocket iti Great Expectations (1946), Fagin iti Oliver Twist (1948), Kol. Nicholson iti The Bridge on the River Kwai, Prinsipe Faisal iti Lawrence of Arabia (1962), Heneral Yevgraf Zhivago iti Doctor Zhivago (1965), ken Propesor Godbole iti A Passage to India (1984). <END>"
John McCain,"<START> Ni John Sidney McCain III, ket Senador iti Arizona, Estados Unidos. <END>"
Buster Keaton,"<START> Ni Joseph Frank 'Buster' Keaton ket maysa idi nga Amerikano nga aktor, direktor, produser, mannurat, espesialista ti sine. Isu ket kaaduan nga ammo para kadagiti naulimek a pelikulana. <END>"
Sidney Poitier,"<START> Ni Apo Sidney Poitier, KBE, ket ti Bahamiano-Amerikano nga aktor, direktor ti pelikula, mannurat ken diplomata. <END>"
Mary Pickford,"<START> Ni Mary Pickford ket maysa idi a Kanadiana-Amerikana nga aktres ti pelikula, mannurat, direktor ti pelikula ken produser ti pelikula. Isu ti kimmadua a nagpundar iti estudio ti pelikula ti United Artists ken maysa kadagiti 36 nga orihinal a nagpundar iti Academy of Motion Picture Arts and Sciences. <END>"
Lillian Gish,"<START> Ni Lillian Diana Gish ket maysa idi nga Amerikana nga aktres iti pelikula ken entablado, ken maysa pay a direktor ken mannurat a nagpaut kadagiti 75 a tawen iti pagsapulanna iti pelikula, manipud idi 1912 kadagiti ababa a naulimek a pelikula aginggana idi 1987. Tinawtawagan idi ni Gish a kas ti Umuna a Balasang ti Amerikano a Sinema, ken naipammadaywan isuna iti panangipionero kadagiti kammasapulan apamay-ay iti panagpabuya ti pelikula. <END>"
Carolus Linnaeus,"<START> Ni Carolus Linnaeus wenno Carl Linnaeus, naam-ammuan pay iti kinanobilidadna a kas ni Carl von Linné (tulong·pakaammo), ket maysa idi a Sueko a botaniko, pisiko, ken soologo, a nangirugi kadagiti pundasion para iti moderno a pamuspusan iti binomio a nomenklatura. Isu ket naam-ammuan a kas ti ama ti moderno a taksonomia, ken naipanpanunotan pay a kas maysa kadagiti ama ti moderno nga ekolohia. Adu kadagiti sinursuratna ket naisurat iti Latin, ken ti naganna ket naipakpakita iti Latin a kas Carolus Linnæus. <END>"
Harold Lloyd,"<START> Ni Harold Clayton Lloyd, Sr. ket maysa idi nga Amerikano nga aktor, komidiante, direktor ti pelikula, produser ti pelikula, ken mannurat ti senario, a nalatak para kadagiti naulimek a pelikulana iti komedia. <END>"
Adrien Brody,"<START> Ni Adrien Nicholas Brody ket maysa nga Amerikano nga aktor. Isu ket nagbalin a popular kalapsan iti panagbidana iti pelikula ni Roman Polanski iti The Pianist (2002), ken isu ti nangabakanna ti Kalaingan nga Aktor iti tawen iti 29, ken mangaramid daytoy kaniana iti kaubingan nga aktor a nangabak iti daytoy a kategoria. Ni Brody pay ti is-isu a lalaki nga Amerikano nga aktor a nakaawat iti César Award ti Pransia. <END>"
Jawaharlal Nehru,"<START> Ni Jawaharlal Nehru, kankanayon anaibagbaga a kas ni Panditji, ket maysa idi nga Indiano a politiko ken estadista, ti maysa nga daulo ti Tignay ti Indiano a Panagwaywaya, ken ti immuna a Kangrunaan a Ministro ti nawaya nga India. Ni Nehru ket nabutosan idi babaen ti Nailian a Kongreso ti India tapno agtakem a kas ti umuna a Kangrunaan a Manistro ti nawaya nga India idi 1947, ken nabutosan manen idi nangabak ti partido Kongreso ti India ti immuna a sapasap a panagbubutos idi 1951. Isu ket maysa kadagiti nangbangon ti internasional a Di Nailinia a Tignay. <END>"
Julius Caesar,<START> Ni Gaius Julius Caesar ket maysa idi a Romano a heneral ken estadista ken mailidding a mannurat ti Latin a prosa. Isu ket nagtignay ti kritiko a papel iti nagininut a panakabalbaliw ti panakaipan ti Republika a Romano iti Romano nga Imperio. <END>
Holly Hunter,"<START> Ni Holly Hunter ket maysa nga Amerikana nga aktres ken produser. Para iti panangiladawanna a kas ni Ada McGrath iti pelikula idi 1993 iti The Piano, isu ket nangabak iti Kalaingan nga Aktres, Gunguna ti BAFTA para iti Kalaingan nga Akters iti Pangyuna a Papel, Gunguna ti Nabalitokan a Globo para iti Kalaingan nga Aktres – Drama ti Pelikula, ken ti Gunguna ti Kalaingan nga Aktres ti Cannes. Isu ket nainominado pay para iti Gunguna ti Akademia para iti Kalaingan nga Aktres para iti Broadcast News (1987), ken ti Gunguna ti Akademia para iti Kalaing a Pangsuporta nga Aktres para iti The Firm (1993) ken ti Thirteen (2003). <END>"
William Hurt,<START> Ni William McChord Hurt ket maysa nga Amerikano nga aktor ti entablado ken pelikula. Nagadal isuna iti panagarte idiay Juilliard School ken nangrugi a nagarte iti entablado kadagiti tawen ti 1970. Nangrugi iti pelikula ni Hurt a kas ti nariro a sientista iti piksion-siensia iti Altered States (1980). <END>
Simone Signoret,"<START> Ni Simone Signoret ket maysa idi nga aktres iti sinema ti Pranses ken masansan a makunkuna a kas maysa kadagiti kalaingan nga artista ti pelikula ti Pransia. Isu ti immuna a Pranses a nangabak iti Gunguna ti Akademia, para iti papelna iti Room at the Top (1959). <END>"
Jean-Paul Belmondo,<START> Ni Jean-Paul Belmondo ket Pranses nga aktor nga immuna a nainaig iti Baro nga Allon kadagiti tawen ti 1960. <END>
Alain Delon,"<START> Ni Alain Fabien Maurice Marcel Delon ket Pranses nga aktor ken negosiante, ken addaan iti dua a pannakaumili iti Pranses-Suiso manipud idi 1999. Ni Delon ket nagbalin a maysa kadagiti kalatakan nga aktor iti Europa kadagiti tawen ti 1960. Isu ket nakagun-od kadagiti pammadayaw para kadagiti papelena kadagiti pelikula a kas ti Rocco and His Brothers (1960), Purple Noon (1960), L'Eclisse (1962), The Leopard (1963), Lost Command (1966) ken Le Samouraï (1967). Kadagiti kurso ti karerna, nagobra ni Delon kadagiti adu nga ammo a direktor, a mairaman ni Luchino Visconti, Jean-Luc Godard, Jean-Pierre Melville, Michelangelo Antonioni ken Louis Malle. <END>"
Dante Alighieri,"<START> Ni Dante Alighieri ket maysa nga italiano a mannaniw, naindaklan a poeta. Ni Dante ti maibilang a maysa kadagiti kalaingan a mannurat iti. Nalatak a naammuan isuna kadagiti tallo nga obra na iti Italian a iteratura, ti Divina Commedia. <END>"
