Title,First Paragraph
Mahatma Gandhi,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule. He inspired movements for civil rights and freedom across the world. The honorific Mahātmā, first applied to him in South Africa in 1914, is now used throughout the world."
Fred Astaire,"Fred Astaire was an American dancer, actor, singer, musician, choreographer, and presenter. He is widely regarded as the ""greatest popular-music dancer of all time"". He received numerous accolades including an Honorary Academy Award, three Primetime Emmy Awards, a BAFTA Award, two Golden Globe Awards, and a Grammy Award. He was honored with the Film Society of Lincoln Center tribute in 1973, the Kennedy Center Honors in 1978, and AFI Life Achievement Award in 1980. He was inducted into the Hollywood Walk of Fame in 1960, American Theatre Hall of Fame in 1972, and the Television Hall of Fame in 1989."
James Stewart,"James Maitland Stewart was an American actor and military officer. Known for his distinctive drawl and everyman screen persona, Stewart's film career spanned 80 films from 1935 to 1991. With the strong morality, which he portrayed both on and off the screen, he epitomized the ""American ideal"" in the mid-twentieth century. In 1999, the American Film Institute (AFI) ranked him third on its list of the greatest American male actors. He received numerous honors including the AFI Life Achievement Award in 1980, the Kennedy Center Honor in 1983, as well as the Academy Honorary Award and Presidential Medal of Freedom, both in 1985."
Jaroslav Seifert,"Jaroslav Seifert was a Czech writer, poet and journalist. Seifert was awarded the 1984 Nobel Prize in Literature ""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""."
Ernest Borgnine,"Ernest Borgnine was an American actor whose career spanned over six decades. He was noted for his gruff but relaxed voice and gap-toothed Cheshire Cat grin. A popular performer, he also appeared as a guest on numerous talk shows and as a panelist on several game shows."
Diane Keaton,"Diane Keaton is an American actress. She has received various accolades throughout her career spanning over five decades, including an Academy Award, a British Academy Film Award, and two Golden Globe Awards, in addition to nominations for a Tony Award and two Emmy Awards. She was honored with the Film Society of Lincoln Center Gala Tribute in 2007 and an AFI Life Achievement Award in 2017."
Yul Brynner,"Yuliy Borisovich Briner, known professionally as Yul Brynner, was a Russian-born actor. He was known for his portrayal of King Mongkut in the Rodgers and Hammerstein stage musical The King and I, for which he won two Tony Awards, and later an Academy Award for Best Actor for the film adaptation. He played the role 4,625 times on stage and became known for his shaved head, which he maintained as a personal trademark long after adopting it for The King and I. Considered one of the first Russian-American film stars, he was honored with a ceremony to put his handprints in front of Grauman's Chinese Theatre in Hollywood in 1956, and also received a star on the Hollywood Walk of Fame in 1960."
Halle Berry,"Halle Maria Berry is an American actress. She began her career as a model and entered several beauty contests, finishing as the first runner-up in the Miss USA pageant and coming in sixth in the Miss World 1986. Her breakthrough film role was in the romantic comedy Boomerang (1992), alongside Eddie Murphy, which led to roles in The Flintstones (1994) and Bulworth (1998) as well as the television film Introducing Dorothy Dandridge (1999), for which she won a Primetime Emmy Award and a Golden Globe Award."
Charles Darwin,"Charles Robert Darwin was an English naturalist, geologist and biologist, widely known for his contributions to evolutionary biology. His proposition that all species of life have descended from a common ancestor is now generally accepted and considered a fundamental concept in science. In a joint publication with Alfred Russel Wallace, he introduced his scientific theory that this branching pattern of evolution resulted from a process he called natural selection, in which the struggle for existence has a similar effect to the artificial selection involved in selective breeding. Darwin has been described as one of the most influential figures in human history and was honoured by burial in Westminster Abbey."
Peter O'Toole,"Peter Seamus O'Toole was an English stage and film actor. He attended RADA and began working in the theatre, gaining recognition as a Shakespearean actor at the Bristol Old Vic and with the English Stage Company. In 1959 he made his West End debut in The Long and the Short and the Tall, and played the title role in Hamlet in the National Theatre's first production in 1963. Excelling on the London stage, O'Toole was known for his ""hellraiser"" lifestyle off it."
